Id,Duration MS, Dureation, Web Accesses,Web Access Per Focus,Web Episodes Per Focus,Insurmountable,Surmountable,Predicted, Corrected, Difficulties,Arff,StuckPoints
16,8270068,2:17:50,74,0.521126761,0.11971831,1,4,2,0,7,9,6
17,3195186,0:53:15,14,0.194444444,0.055555556,0,2,0,0,2,2,
18,10214170,2:50:14,49,0.6125,0.125,3,0,0,0,3,3,3
19,6571900,1:49:31,85,0.464480874,0.120218579,0,0,0,0,0,0,3
20,7774411,2:09:34,31,0.274336283,0.088495575,0,0,0,0,0,0,2
21,14896199,4:08:16,100,0.649350649,0.201298701,4,0,0,0,4,4,3
22,7703968,2:08:23,24,0.146341463,0.036585366,1,4,1,0,6,6,7
23,8532500,2:22:12,21,0.140939597,0.053691275,3,0,0,0,3,3,
24,7916918,2:11:56,99,0.363970588,0.077205882,1,0,0,0,1,1,3
26,8868335,2:27:48,83,0.614814815,0.103703704,3,0,0,0,3,1,5
27,9780117,2:43:00,51,0.342281879,0.134228188,3,1,2,0,6,8,7
28,10311410,2:51:51,61,0.508333333,0.116666667,3,1,3,-1,6,6,5
29,8297183,2:18:17,35,0.2734375,0.1015625,3,0,10,-1,12,21,9
30,6407115,1:46:47,50,0.393700787,0.086614173,0,1,0,0,1,1,
31,3177283,0:52:57,24,0.328767123,0.082191781,0,1,1,0,2,2,
32,2220756,0:37:00,15,0.625,0.041666667,0,1,0,0,1,1,
33,9240816,2:34:00,0,0,0,0,0,0,0,0,0,
All,9240816,2:34:00,0,0,0,0,0,0,0,0,,
